code	name	price	type	ref	cs
2362	Шапка Сноп с лобиком	7890	99	http://shapka-moda.ru/images/product/s/11479b7f80.jpg	E4AD5E3EDB9937243BE3F35AB01767C7
2363	Шапка Сноп с лобиком	7890	99	http://shapka-moda.ru/images/product/s/114808883b.jpg	E53BD2B061D87F487CCC5958BC080670
2364	Шапка Сноп с лобиком	5690	99	http://shapka-moda.ru/images/product/s/11481381de.jpg	58692D72AC9A2320497DEEFBF5B52CC5
2365	Шапка Маркиза	6690	99	http://shapka-moda.ru/images/product/s/1148281119.jpg	464B658BF67704DD45807E844D8DD6B9
2366	Шапка Маркиза	6690	99	http://shapka-moda.ru/images/product/s/1148349c47.jpg	FD0B14B77A2FA6DD4F7AB99187DC0FF8
2367	Шапка Маркиза	8390	99	http://shapka-moda.ru/images/product/s/114845730f.jpg	17C9C733E2A7CB6602CF04788D1A1570
2368	Шапка Маркиза	8390	99	http://shapka-moda.ru/images/product/s/11485a006d.jpg	04392522984F250B272FB6B34FE5AAC4
2369	Шапка Маркиза	8390	99	http://shapka-moda.ru/images/product/s/11486c686a.jpg	88ACCCF5A42B224278939533C323FC65
2370	Шапка Маркиза	8390	99	http://shapka-moda.ru/images/product/s/114878b000.jpg	07C28EED4F713B9D7A1EDCB64C6EAB9F
2371	Шапка Маркиза	8390	99	http://shapka-moda.ru/images/product/s/11488898e8.jpg	A719DECCC3C34AFCA233C2AD5E935660
2372	Шапка Маркиза	8390	99	http://shapka-moda.ru/images/product/s/114898c8c8.jpg	8C66BFF06037F30BD508839BAD142615
2373	Шапка Жанна	5190	99	http://shapka-moda.ru/images/product/s/114902f7ad.jpg	1AE23EFB32DEAEA7541856237895C00C
2374	Шапка Жанна	5190	99	http://shapka-moda.ru/images/product/s/11491e1e82.jpg	2C62F8F3DE53574573C1216D245034DC
2375	Шапка Жанна	5190	99	http://shapka-moda.ru/images/product/s/1149219b17.jpg	9BA93A09A93900C07FC384A212599AD4
2376	Шарка Гриб	4490	99	http://shapka-moda.ru/images/product/s/114939cafa.jpg	EF639DBD6F205883BB1DADCBA179F63F
2377	Шапка Гриб	4490	99	http://shapka-moda.ru/images/product/s/11494d06b1.jpg	8F1161875F5696649B6F4157C94476C5
2378	Шапка Гриб	4490	99	http://shapka-moda.ru/images/product/s/114954a12c.jpg	7A1ECE3B77EF6AE3C4463AEC4ACD4145
2379	Шапка Гриб	4690	99	http://shapka-moda.ru/images/product/s/1149642ac0.jpg	E8419423B8EA26A9B752829E5930C4D9
2380	Шапка Лыжница	4190	99	http://shapka-moda.ru/images/product/s/114977fe41.jpg	20E91AB81E5D62C7269ADA08D38DBFBD
